normalized_density_rnd(Arts & Entertainment),normalized_density_rnd(College & University),normalized_density_rnd(Event),normalized_density_rnd(Food),normalized_density_rnd(Nightlife Spot),normalized_density_rnd(Outdoors & Recreation),normalized_density_rnd(Professional & Other Places),normalized_density_rnd(Residence),normalized_density_rnd(Shop & Service),normalized_density_rnd(Travel & Transport)
0.0625,0.7692307692307693,0.19999999999999998,0.5294117647058822,0.5200000000000001,1.0,0.8823529411764705,0.7142857142857142,0.33333333333333337,0.9230769230769231
0.125,0.576923076923077,0.7999999999999999,0.7647058823529411,0.7200000000000001,1.0,0.29411764705882354,0.42857142857142855,0.5714285714285714,0.7692307692307693
0.5624999999999999,0.5,0.5999999999999999,0.2352941176470588,0.28,1.0,0.3529411764705882,0.14285714285714285,0.5714285714285714,0.6923076923076923
0.0,0.8461538461538461,1.0,0.2352941176470588,0.64,1.0,0.411764705882353,0.5714285714285714,1.0,0.38461538461538464
0.18749999999999997,0.2692307692307692,0.39999999999999997,0.6470588235294116,0.32,0.0,0.3529411764705882,0.8571428571428571,0.4761904761904763,0.15384615384615385
0.8124999999999999,0.2692307692307692,0.7999999999999999,0.35294117647058815,0.8,1.0,0.6470588235294117,0.8571428571428571,0.09523809523809525,0.38461538461538464
0.3125,0.9615384615384616,0.39999999999999997,0.8235294117647057,1.0,0.0,0.29411764705882354,1.0,1.0,0.5384615384615384
0.125,0.5384615384615384,0.19999999999999998,0.1176470588235294,0.2,1.0,0.47058823529411764,1.0,0.04761904761904762,0.6923076923076923
1.0,0.8461538461538461,0.19999999999999998,0.2352941176470588,0.04,1.0,0.5294117647058824,0.5714285714285714,0.2857142857142857,0.7692307692307693
0.125,0.07692307692307693,0.5999999999999999,0.41176470588235287,0.64,0.0,0.9411764705882353,0.2857142857142857,0.7142857142857143,0.07692307692307693
0.4374999999999999,0.6923076923076923,0.19999999999999998,0.0588235294117647,0.88,0.0,0.823529411764706,0.0,0.23809523809523814,0.38461538461538464
0.8749999999999998,0.4230769230769231,0.39999999999999997,0.5294117647058822,0.6800000000000002,0.0,0.11764705882352941,0.42857142857142855,0.6666666666666667,0.23076923076923078
0.625,0.4230769230769231,0.0,0.5882352941176471,0.88,0.0,0.411764705882353,0.0,0.33333333333333337,0.9230769230769231
0.125,0.11538461538461538,0.39999999999999997,0.35294117647058815,0.04,1.0,0.8823529411764705,0.14285714285714285,0.5238095238095238,0.0
0.7499999999999999,0.38461538461538464,0.7999999999999999,0.5294117647058822,0.96,1.0,0.29411764705882354,0.5714285714285714,0.9047619047619048,0.46153846153846156
0.18749999999999997,0.5384615384615384,0.0,0.8823529411764705,0.6800000000000002,0.0,0.47058823529411764,0.8571428571428571,1.0,0.5384615384615384
0.7499999999999999,0.9615384615384616,0.5999999999999999,0.41176470588235287,0.44,1.0,0.7647058823529411,1.0,0.14285714285714285,0.23076923076923078
