density_rnd(Arts & Entertainment),density_rnd(College & University),density_rnd(Event),density_rnd(Food),density_rnd(Nightlife Spot),density_rnd(Outdoors & Recreation),density_rnd(Professional & Other Places),density_rnd(Residence),density_rnd(Shop & Service),density_rnd(Travel & Transport)
541.1255411255411,829.7258297258297,36.075036075036074,468.97546897546897,360.75036075036076,36.075036075036074,108.22510822510822,252.5252525252525,216.45021645021643,360.75036075036076
505.050505050505,324.67532467532465,72.15007215007215,360.75036075036076,901.8759018759018,36.075036075036074,288.6002886002886,180.37518037518038,216.45021645021643,144.3001443001443
324.67532467532465,72.15007215007215,72.15007215007215,613.2756132756133,180.37518037518038,0.0,108.22510822510822,0.0,577.2005772005772,72.15007215007215
468.97546897546897,288.6002886002886,144.3001443001443,324.67532467532465,180.37518037518038,0.0,613.2756132756133,144.3001443001443,649.3506493506493,360.75036075036076
252.5252525252525,649.3506493506493,0.0,505.050505050505,216.45021645021643,36.075036075036074,0.0,144.3001443001443,180.37518037518038,288.6002886002886
396.8253968253968,865.8008658008657,72.15007215007215,216.45021645021643,829.7258297258297,36.075036075036074,216.45021645021643,36.075036075036074,0.0,432.90043290043286
396.8253968253968,541.1255411255411,180.37518037518038,216.45021645021643,468.97546897546897,36.075036075036074,360.75036075036076,108.22510822510822,108.22510822510822,180.37518037518038
36.075036075036074,36.075036075036074,180.37518037518038,577.2005772005772,757.5757575757575,0.0,432.90043290043286,108.22510822510822,685.4256854256854,180.37518037518038
432.90043290043286,36.075036075036074,0.0,324.67532467532465,721.5007215007215,36.075036075036074,649.3506493506493,180.37518037518038,252.5252525252525,432.90043290043286
541.1255411255411,721.5007215007215,180.37518037518038,360.75036075036076,360.75036075036076,36.075036075036074,72.15007215007215,0.0,685.4256854256854,72.15007215007215
180.37518037518038,937.9509379509379,0.0,541.1255411255411,757.5757575757575,36.075036075036074,649.3506493506493,36.075036075036074,0.0,324.67532467532465
72.15007215007215,613.2756132756133,180.37518037518038,541.1255411255411,0.0,36.075036075036074,108.22510822510822,144.3001443001443,541.1255411255411,324.67532467532465
0.0,721.5007215007215,72.15007215007215,613.2756132756133,72.15007215007215,0.0,144.3001443001443,72.15007215007215,0.0,216.45021645021643
505.050505050505,36.075036075036074,180.37518037518038,216.45021645021643,432.90043290043286,0.0,252.5252525252525,180.37518037518038,468.97546897546897,396.8253968253968
0.0,649.3506493506493,180.37518037518038,288.6002886002886,829.7258297258297,36.075036075036074,108.22510822510822,108.22510822510822,613.2756132756133,108.22510822510822
0.0,252.5252525252525,108.22510822510822,288.6002886002886,901.8759018759018,36.075036075036074,505.050505050505,108.22510822510822,649.3506493506493,396.8253968253968
324.67532467532465,72.15007215007215,36.075036075036074,144.3001443001443,505.050505050505,0.0,577.2005772005772,36.075036075036074,180.37518037518038,36.075036075036074
468.97546897546897,72.15007215007215,108.22510822510822,360.75036075036076,577.2005772005772,36.075036075036074,216.45021645021643,36.075036075036074,0.0,72.15007215007215
288.6002886002886,36.075036075036074,108.22510822510822,324.67532467532465,685.4256854256854,36.075036075036074,252.5252525252525,108.22510822510822,36.075036075036074,36.075036075036074
288.6002886002886,324.67532467532465,108.22510822510822,0.0,360.75036075036076,36.075036075036074,432.90043290043286,0.0,613.2756132756133,252.5252525252525
288.6002886002886,432.90043290043286,72.15007215007215,324.67532467532465,432.90043290043286,36.075036075036074,613.2756132756133,72.15007215007215,0.0,396.8253968253968
144.3001443001443,829.7258297258297,108.22510822510822,505.050505050505,360.75036075036076,0.0,360.75036075036076,0.0,360.75036075036076,216.45021645021643
0.0,252.5252525252525,108.22510822510822,72.15007215007215,252.5252525252525,0.0,468.97546897546897,0.0,180.37518037518038,252.5252525252525
108.22510822510822,288.6002886002886,0.0,252.5252525252525,901.8759018759018,0.0,216.45021645021643,36.075036075036074,252.5252525252525,36.075036075036074
108.22510822510822,324.67532467532465,36.075036075036074,36.075036075036074,541.1255411255411,0.0,36.075036075036074,180.37518037518038,468.97546897546897,180.37518037518038
577.2005772005772,757.5757575757575,36.075036075036074,36.075036075036074,577.2005772005772,0.0,216.45021645021643,180.37518037518038,180.37518037518038,108.22510822510822
505.050505050505,324.67532467532465,108.22510822510822,252.5252525252525,468.97546897546897,0.0,505.050505050505,36.075036075036074,505.050505050505,432.90043290043286
0.0,288.6002886002886,108.22510822510822,252.5252525252525,252.5252525252525,0.0,288.6002886002886,72.15007215007215,324.67532467532465,360.75036075036076
72.15007215007215,829.7258297258297,36.075036075036074,144.3001443001443,396.8253968253968,0.0,360.75036075036076,36.075036075036074,288.6002886002886,324.67532467532465
180.37518037518038,541.1255411255411,36.075036075036074,72.15007215007215,144.3001443001443,0.0,577.2005772005772,180.37518037518038,0.0,108.22510822510822
