normalized_density_rnd(Arts & Entertainment),normalized_density_rnd(College & University),normalized_density_rnd(Event),normalized_density_rnd(Food),normalized_density_rnd(Nightlife Spot),normalized_density_rnd(Outdoors & Recreation),normalized_density_rnd(Professional & Other Places),normalized_density_rnd(Residence),normalized_density_rnd(Shop & Service),normalized_density_rnd(Travel & Transport)
0.625,0.5384615384615384,0.8,0.1764705882352941,0.039999999999999994,1.0,0.9473684210526316,0.0,0.0,0.07692307692307693
0.5,0.3846153846153846,0.2,0.8235294117647057,0.9599999999999999,0.0,0.4210526315789474,0.28571428571428575,0.3333333333333333,0.23076923076923078
0.6875,0.23076923076923073,0.2,0.1764705882352941,0.8399999999999999,0.0,0.5263157894736843,0.7142857142857143,0.047619047619047616,0.46153846153846156
0.4375,0.11538461538461536,0.4,0.29411764705882354,0.88,0.0,0.736842105263158,0.8571428571428572,0.5714285714285714,0.15384615384615385
0.875,0.07692307692307691,0.2,0.9411764705882353,0.6799999999999999,1.0,0.7894736842105262,0.5714285714285715,0.42857142857142855,0.46153846153846156
0.0625,0.7692307692307692,0.8,0.058823529411764705,0.07999999999999999,0.0,0.736842105263158,0.7142857142857143,0.047619047619047616,1.0
0.8125000000000001,0.1923076923076923,0.4,0.11764705882352941,0.11999999999999998,0.0,0.26315789473684215,0.7142857142857143,0.5714285714285714,0.7692307692307693
0.5625,0.8076923076923076,0.2,0.6470588235294117,0.4,1.0,1.0,0.28571428571428575,0.0,1.0
0.875,0.5769230769230769,0.2,0.47058823529411764,0.72,1.0,0.15789473684210525,0.0,0.7142857142857142,0.8461538461538461
0.0625,0.5,1.0,0.7647058823529411,0.52,0.0,0.5263157894736843,0.7142857142857143,0.8095238095238096,0.07692307692307693
0.0625,0.03846153846153846,0.2,1.0,0.9599999999999999,1.0,0.631578947368421,0.7142857142857143,0.5238095238095238,0.9230769230769231
0.4375,0.3846153846153846,0.2,0.11764705882352941,0.4799999999999999,0.0,0.26315789473684215,0.28571428571428575,0.7142857142857142,0.38461538461538464
0.9374999999999999,0.07692307692307691,1.0,0.11764705882352941,0.2,1.0,0.4210526315789474,0.7142857142857143,0.5238095238095238,0.0
0.875,0.6153846153846153,1.0,0.1764705882352941,0.23999999999999996,1.0,1.0,0.7142857142857143,0.09523809523809523,0.8461538461538461
0.0625,0.5769230769230769,0.8,1.0,0.88,0.0,0.6842105263157896,0.8571428571428572,0.09523809523809523,0.15384615384615385
0.125,0.7692307692307692,0.4,0.5294117647058822,0.8399999999999999,1.0,0.4210526315789474,0.5714285714285715,0.6190476190476191,0.0
0.875,0.30769230769230765,1.0,0.11764705882352941,1.0,0.0,0.0,0.14285714285714288,0.0,0.8461538461538461
0.875,0.7692307692307692,0.0,0.5882352941176471,0.6399999999999999,0.0,0.0,0.8571428571428572,0.8095238095238096,0.5384615384615384
0.8125000000000001,0.15384615384615383,0.5999999999999999,0.5294117647058822,0.31999999999999995,0.0,0.26315789473684215,1.0,0.09523809523809523,0.46153846153846156
0.8125000000000001,0.03846153846153846,1.0,0.058823529411764705,0.07999999999999999,0.0,0.15789473684210525,0.5714285714285715,0.6190476190476191,0.8461538461538461
0.6875,0.23076923076923073,0.8,0.1764705882352941,0.8,1.0,0.4210526315789474,0.4285714285714286,0.6190476190476191,0.6923076923076923
0.0625,0.5769230769230769,0.0,0.11764705882352941,0.11999999999999998,0.0,1.0,0.8571428571428572,0.6190476190476191,1.0
1.0,1.0,0.4,0.29411764705882354,0.52,0.0,0.6842105263157896,0.8571428571428572,0.9523809523809526,0.8461538461538461
0.625,0.23076923076923073,0.2,0.7647058823529411,0.44,0.0,0.10526315789473685,0.7142857142857143,0.6190476190476191,0.46153846153846156
0.625,0.2692307692307692,0.8,0.5294117647058822,0.039999999999999994,0.0,0.15789473684210525,0.7142857142857143,0.7619047619047619,1.0
0.18749999999999997,0.0,0.4,0.1764705882352941,0.5999999999999999,1.0,0.9473684210526316,0.4285714285714286,0.7142857142857142,0.9230769230769231
0.37499999999999994,0.2692307692307692,0.4,0.7647058823529411,0.8,1.0,0.0,1.0,0.2857142857142857,0.3076923076923077
0.4375,0.8076923076923076,0.4,0.9411764705882353,0.07999999999999999,1.0,0.3157894736842105,0.28571428571428575,0.7142857142857142,0.8461538461538461
0.625,0.5769230769230769,0.5999999999999999,0.9411764705882353,0.6399999999999999,0.0,0.5263157894736843,1.0,0.0,0.46153846153846156
0.7499999999999999,0.9230769230769229,0.5999999999999999,0.5882352941176471,0.8,1.0,0.8947368421052632,0.4285714285714286,0.5238095238095238,0.23076923076923078
0.0625,0.0,0.4,0.3529411764705882,0.8399999999999999,1.0,0.3157894736842105,0.7142857142857143,0.19047619047619047,0.6153846153846154
0.0625,0.3461538461538461,0.4,0.11764705882352941,0.039999999999999994,0.0,0.7894736842105262,1.0,0.6666666666666666,0.6153846153846154
0.18749999999999997,0.7307692307692307,1.0,0.8823529411764706,0.2,0.0,0.26315789473684215,0.7142857142857143,0.09523809523809523,0.8461538461538461
0.8125000000000001,0.3846153846153846,1.0,0.5294117647058822,0.88,0.0,0.736842105263158,0.5714285714285715,0.0,0.7692307692307693
0.3125,0.9615384615384613,0.4,0.9411764705882353,1.0,0.0,0.15789473684210525,0.5714285714285715,0.5714285714285714,0.6923076923076923
0.37499999999999994,0.30769230769230765,0.5999999999999999,0.8823529411764706,0.5599999999999999,0.0,0.0,1.0,0.5714285714285714,0.23076923076923078
0.7499999999999999,0.8076923076923076,0.5999999999999999,0.29411764705882354,0.72,1.0,0.631578947368421,0.5714285714285715,0.6666666666666666,0.6923076923076923
0.8125000000000001,0.03846153846153846,0.0,0.23529411764705882,0.4799999999999999,1.0,0.7894736842105262,0.5714285714285715,0.8095238095238096,0.0
0.7499999999999999,0.3846153846153846,0.0,0.5294117647058822,0.5599999999999999,0.0,0.10526315789473685,1.0,0.14285714285714285,0.38461538461538464
0.5,0.6538461538461539,0.5999999999999999,0.7647058823529411,0.0,0.0,0.6842105263157896,1.0,0.0,0.0
1.0,0.11538461538461536,0.2,0.7058823529411764,0.88,1.0,0.15789473684210525,0.14285714285714288,0.6666666666666666,0.3076923076923077
0.25,0.1923076923076923,0.2,0.5294117647058822,0.07999999999999999,1.0,0.0,0.4285714285714286,0.7619047619047619,0.9230769230769231
0.3125,1.0,0.8,0.8823529411764706,0.5599999999999999,1.0,0.368421052631579,1.0,0.2857142857142857,0.23076923076923078
0.37499999999999994,0.03846153846153846,0.0,0.1764705882352941,0.36,0.0,0.5263157894736843,0.8571428571428572,0.8095238095238096,0.15384615384615385
0.18749999999999997,0.23076923076923073,0.8,0.11764705882352941,0.2,1.0,0.368421052631579,1.0,0.5238095238095238,0.15384615384615385
0.8125000000000001,0.9615384615384613,0.2,1.0,0.039999999999999994,1.0,0.26315789473684215,0.28571428571428575,0.6666666666666666,0.23076923076923078
0.7499999999999999,0.23076923076923073,0.4,0.058823529411764705,0.6399999999999999,0.0,0.4736842105263158,0.5714285714285715,0.0,0.23076923076923078
0.5,0.2692307692307692,0.4,0.7647058823529411,0.88,1.0,0.9473684210526316,0.7142857142857143,0.09523809523809523,0.6923076923076923
0.3125,0.9615384615384613,0.5999999999999999,0.7058823529411764,0.72,0.0,0.0,0.0,0.09523809523809523,1.0
1.0,0.8076923076923076,0.4,0.47058823529411764,0.2,0.0,0.8947368421052632,0.0,1.0,0.7692307692307693
0.125,0.5769230769230769,0.8,0.8235294117647057,0.07999999999999999,0.0,0.9473684210526316,0.14285714285714288,0.8571428571428571,0.23076923076923078
0.37499999999999994,0.6923076923076922,0.8,0.47058823529411764,0.31999999999999995,0.0,0.15789473684210525,1.0,0.6190476190476191,0.7692307692307693
0.125,0.3846153846153846,0.8,0.11764705882352941,0.8399999999999999,1.0,0.7894736842105262,0.4285714285714286,0.9523809523809526,0.6153846153846154
0.5,0.30769230769230765,0.0,0.3529411764705882,0.31999999999999995,0.0,0.8947368421052632,1.0,0.7142857142857142,0.15384615384615385
0.125,0.6923076923076922,0.8,0.11764705882352941,1.0,0.0,0.0,0.14285714285714288,0.38095238095238093,0.5384615384615384
