Latitude,Longitude,normalized_density_rnd(Arts & Entertainment),normalized_density_rnd(College & University),normalized_density_rnd(Event),normalized_density_rnd(Food),normalized_density_rnd(Nightlife Spot),normalized_density_rnd(Outdoors & Recreation),normalized_density_rnd(Professional & Other Places),normalized_density_rnd(Residence),normalized_density_rnd(Shop & Service),normalized_density_rnd(Travel & Transport)
1.0,0.0,0.3125,0.2692307692307692,0.39999999999999997,0.6470588235294117,0.27999999999999997,0.0,0.5263157894736842,0.7142857142857143,0.8095238095238098,0.6923076923076922
1.0,0.05263157894736842,0.8749999999999999,0.30769230769230765,0.19999999999999998,0.6470588235294117,0.4,0.0,0.2631578947368421,0.14285714285714285,0.5714285714285715,0.15384615384615383
1.0,0.10526315789473684,0.125,0.4230769230769231,1.0,0.1764705882352941,0.48,1.0,0.36842105263157887,0.857142857142857,0.28571428571428575,0.23076923076923073
1.0,0.15789473684210525,0.25,0.923076923076923,0.39999999999999997,0.0,0.44,1.0,0.21052631578947367,0.7142857142857143,0.9523809523809526,0.30769230769230765
1.0,0.21052631578947367,0.9375,0.9615384615384615,1.0,0.8823529411764705,0.24,0.0,0.6315789473684209,0.14285714285714285,0.23809523809523814,0.5384615384615384
1.0,0.2631578947368421,0.6875,0.30769230769230765,0.39999999999999997,0.8823529411764705,0.96,1.0,0.15789473684210523,0.857142857142857,0.5238095238095238,0.15384615384615383
1.0,0.3157894736842105,0.5,0.30769230769230765,0.7999999999999999,0.1764705882352941,0.6800000000000002,1.0,0.5263157894736842,0.14285714285714285,0.5238095238095238,0.9230769230769229
1.0,0.3684210526315789,0.8749999999999999,0.9615384615384615,0.7999999999999999,0.5882352941176471,0.44,1.0,0.36842105263157887,0.4285714285714285,0.28571428571428575,0.6153846153846153
1.0,0.42105263157894735,0.0625,0.8461538461538461,1.0,0.5294117647058822,0.96,0.0,0.05263157894736842,0.4285714285714285,0.04761904761904763,0.07692307692307691
1.0,0.47368421052631576,0.125,0.0,0.0,1.0,0.96,0.0,1.0,0.4285714285714285,0.23809523809523814,0.3846153846153846
1.0,0.5263157894736842,0.0,0.15384615384615383,0.7999999999999999,0.1764705882352941,0.0,1.0,0.5789473684210525,0.7142857142857143,0.6666666666666667,0.6923076923076922
1.0,0.5789473684210527,0.5624999999999999,0.03846153846153846,0.0,0.47058823529411764,0.72,0.0,0.47368421052631576,0.7142857142857143,0.38095238095238104,0.6923076923076922
1.0,0.631578947368421,0.25,0.0,0.5999999999999999,0.47058823529411764,0.4,0.0,0.47368421052631576,0.14285714285714285,0.4285714285714286,0.07692307692307691
1.0,0.6842105263157895,0.0,0.7307692307692307,0.39999999999999997,0.1764705882352941,0.64,1.0,0.31578947368421045,0.7142857142857143,0.33333333333333337,0.07692307692307691
1.0,0.7368421052631579,1.0,0.5769230769230769,1.0,0.8823529411764705,0.16,0.0,0.8947368421052632,0.857142857142857,0.19047619047619052,0.5384615384615384
1.0,0.7894736842105263,0.375,0.5,0.19999999999999998,0.11764705882352941,0.88,1.0,0.6315789473684209,0.857142857142857,0.19047619047619052,0.6923076923076922
1.0,0.8421052631578947,0.43749999999999994,0.1923076923076923,0.5999999999999999,1.0,0.27999999999999997,0.0,0.21052631578947367,0.2857142857142857,0.38095238095238104,0.07692307692307691
1.0,0.8947368421052632,0.625,0.15384615384615383,0.5999999999999999,0.41176470588235287,0.8,1.0,0.0,0.0,0.23809523809523814,0.07692307692307691
1.0,0.9473684210526315,0.6875,0.03846153846153846,0.0,1.0,0.48,1.0,0.15789473684210523,0.857142857142857,0.4761904761904763,0.6153846153846153
1.0,1.0,0.9375,0.11538461538461538,0.39999999999999997,0.11764705882352941,0.88,0.0,0.21052631578947367,0.14285714285714285,0.0,0.6923076923076922
0.9473684210526315,0.0,0.0625,0.2692307692307692,1.0,0.7647058823529412,0.92,1.0,0.7894736842105263,0.5714285714285714,1.0,0.46153846153846145
0.9473684210526315,0.05263157894736842,0.5,0.6923076923076922,0.7999999999999999,0.47058823529411764,0.32,0.0,0.10526315789473684,0.4285714285714285,0.19047619047619052,0.0
0.9473684210526315,0.10526315789473684,0.6875,0.7307692307692307,1.0,0.3529411764705882,1.0,1.0,0.8421052631578947,0.5714285714285714,0.09523809523809526,0.8461538461538461
0.9473684210526315,0.15789473684210525,0.75,0.6923076923076922,1.0,0.8823529411764705,0.6800000000000002,0.0,0.8421052631578947,0.5714285714285714,0.7619047619047621,0.8461538461538461
0.9473684210526315,0.21052631578947367,0.5,0.7307692307692307,0.7999999999999999,0.23529411764705882,0.04,1.0,0.6315789473684209,0.857142857142857,0.14285714285714288,0.30769230769230765
0.9473684210526315,0.2631578947368421,0.8749999999999999,1.0,1.0,0.0,0.08,0.0,0.05263157894736842,0.0,0.7142857142857143,0.6153846153846153
0.9473684210526315,0.3157894736842105,0.25,0.15384615384615383,0.19999999999999998,0.6470588235294117,0.6,1.0,0.10526315789473684,1.0,0.8095238095238098,0.5384615384615384
0.9473684210526315,0.3684210526315789,0.43749999999999994,0.8846153846153847,0.0,0.9411764705882353,0.92,1.0,0.6842105263157895,0.4285714285714285,0.7142857142857143,0.9230769230769229
0.9473684210526315,0.42105263157894735,0.6875,0.15384615384615383,0.5999999999999999,0.5882352941176471,0.6800000000000002,1.0,0.8421052631578947,1.0,0.9523809523809526,0.9230769230769229
0.9473684210526315,0.47368421052631576,0.75,0.8076923076923076,0.7999999999999999,0.41176470588235287,0.2,0.0,0.31578947368421045,0.5714285714285714,0.6190476190476191,0.15384615384615383
0.9473684210526315,0.5263157894736842,0.625,0.7692307692307692,0.39999999999999997,0.7058823529411764,1.0,1.0,0.36842105263157887,0.2857142857142857,0.09523809523809526,0.5384615384615384
0.9473684210526315,0.5789473684210527,0.8125,0.11538461538461538,0.5999999999999999,0.5294117647058822,0.16,1.0,0.42105263157894735,1.0,0.6190476190476191,0.5384615384615384
0.9473684210526315,0.631578947368421,0.8749999999999999,0.8846153846153847,0.5999999999999999,0.1764705882352941,0.0,1.0,0.7368421052631577,0.4285714285714285,0.5714285714285715,0.7692307692307692
0.9473684210526315,0.6842105263157895,0.0625,0.30769230769230765,0.0,0.058823529411764705,0.6800000000000002,1.0,0.9473684210526315,0.4285714285714285,0.4761904761904763,0.6153846153846153
0.9473684210526315,0.7368421052631579,0.3125,0.5384615384615384,1.0,0.5294117647058822,1.0,1.0,0.7368421052631577,0.14285714285714285,0.19047619047619052,0.8461538461538461
0.9473684210526315,0.7894736842105263,0.75,0.5,0.0,0.058823529411764705,0.2,0.0,0.42105263157894735,0.4285714285714285,0.4285714285714286,0.7692307692307692
0.9473684210526315,0.8421052631578947,0.5624999999999999,0.1923076923076923,0.39999999999999997,0.7647058823529412,0.27999999999999997,1.0,0.6315789473684209,0.2857142857142857,0.6666666666666667,0.3846153846153846
0.9473684210526315,0.8947368421052632,0.3125,0.8076923076923076,0.19999999999999998,0.5294117647058822,0.64,0.0,0.8421052631578947,0.7142857142857143,0.09523809523809526,0.3846153846153846
0.9473684210526315,0.9473684210526315,0.125,0.2692307692307692,0.0,0.0,0.6800000000000002,0.0,0.05263157894736842,0.5714285714285714,0.4285714285714286,0.8461538461538461
0.9473684210526315,1.0,0.625,0.4615384615384615,0.19999999999999998,0.23529411764705882,0.44,1.0,0.7894736842105263,0.7142857142857143,0.04761904761904763,0.23076923076923073
0.8947368421052632,0.0,0.375,0.6153846153846153,0.39999999999999997,0.7647058823529412,0.08,1.0,0.5263157894736842,0.857142857142857,0.8095238095238098,0.07692307692307691
0.8947368421052632,0.05263157894736842,0.0625,0.9615384615384615,0.5999999999999999,0.11764705882352941,0.16,0.0,0.47368421052631576,1.0,0.14285714285714288,0.6923076923076922
0.8947368421052632,0.10526315789473684,1.0,0.2692307692307692,0.7999999999999999,0.8235294117647057,0.12,1.0,0.10526315789473684,0.7142857142857143,0.23809523809523814,0.6923076923076922
0.8947368421052632,0.15789473684210525,0.0625,0.5,0.19999999999999998,0.0,0.52,1.0,0.0,1.0,0.8571428571428572,0.30769230769230765
0.8947368421052632,0.21052631578947367,0.9375,0.5384615384615384,0.5999999999999999,0.41176470588235287,0.36,0.0,0.10526315789473684,0.5714285714285714,0.5714285714285715,0.0
0.8947368421052632,0.2631578947368421,0.8749999999999999,0.15384615384615383,0.7999999999999999,1.0,0.12,0.0,0.05263157894736842,0.0,0.0,0.3846153846153846
0.8947368421052632,0.3157894736842105,0.3125,0.5,0.39999999999999997,0.6470588235294117,0.08,0.0,0.0,0.0,0.4761904761904763,0.5384615384615384
0.8947368421052632,0.3684210526315789,0.375,0.6923076923076922,0.5999999999999999,0.0,0.16,1.0,1.0,0.2857142857142857,0.6666666666666667,0.9230769230769229
0.8947368421052632,0.42105263157894735,0.0,0.8461538461538461,0.5999999999999999,0.8823529411764705,0.12,1.0,0.10526315789473684,0.14285714285714285,0.23809523809523814,0.9230769230769229
0.8947368421052632,0.47368421052631576,0.625,0.5384615384615384,1.0,0.7647058823529412,0.12,0.0,0.47368421052631576,0.2857142857142857,0.19047619047619052,1.0
0.8947368421052632,0.5263157894736842,1.0,0.2692307692307692,0.39999999999999997,0.3529411764705882,0.52,1.0,0.8421052631578947,1.0,0.7142857142857143,0.23076923076923073
0.8947368421052632,0.5789473684210527,0.43749999999999994,0.3461538461538461,0.5999999999999999,1.0,0.08,1.0,0.31578947368421045,0.4285714285714285,0.04761904761904763,0.6923076923076922
0.8947368421052632,0.631578947368421,0.625,0.3461538461538461,0.5999999999999999,0.11764705882352941,0.8400000000000001,0.0,0.8947368421052632,0.4285714285714285,0.28571428571428575,0.30769230769230765
0.8947368421052632,0.6842105263157895,0.125,0.8461538461538461,0.7999999999999999,0.5882352941176471,0.32,1.0,0.7368421052631577,0.0,0.9523809523809526,0.46153846153846145
